TicketNumber,Client,Staff,Source,Title,Resolution,HelpTopic,DataOn,ClosedDate,ModifiedDate,KYC,Date Opened,Closed Date,Modified Date,ResolutionDurationMins,DayOfWeekOpened,TimeOfDayOpened,Ticket Age,Resolution Summary,Sentiment,Sentiment Score,HelpTopicCount,DayOfWeekNum
IT285815,User,ITSupport,Email,Ticket Assigned to Shijil Kumar Aynoli,Ticket claimed by Shijil Kumar Aynoli,Access Requests,24-10-2016 16:03,24-10-2016 17:07,24-10-2016 16:08,N,2016-10-24 16:03:00,2016-10-24 17:07:00,2016-10-24 16:08:00,64.0,Monday,16.0,64.0,Ticket claimed by Shijil Kumar Aynoli .,NEGATIVE,0.8922573328018188,243,1
IT515811,User,ITSupport,Email,,"Hello Srikanth,<br /><br />16GB MIcroSD have been handover to Sripathy,Please collect it from sripathy.<br />Hence the request marked as closed.<br /><br />Thanks &amp; Regards<br />A.Shijil Kumar<br />",Accessories,18-12-2017 14:18,29-12-2017 23:42,29-12-2017 23:42,N,2017-12-18 14:18:00,2017-12-29 23:42:00,2017-12-29 23:42:00,16404.0,Monday,14.0,16404.0,"Hello Srikanth,br />16GB MIcroSD have been handover to Sripathy,Please collect it from sripathy .a.Shijil Kumar'br's request marked",,,122,1
IT515811,User,ITSupport,Email,Ticket Updated,Raised a procurement request,Accessories,18-12-2017 14:18,29-12-2017 23:42,22-12-2017 09:25,N,2017-12-18 14:18:00,2017-12-29 23:42:00,2017-12-22 09:25:00,16404.0,Monday,14.0,16404.0,Raised a procurement request for a new product .,POSITIVE,0.987381637096405,122,1
IT515811,User,ITSupport,Email,Ticket Marked Overdue,Ticket flagged as overdue by the system.,Accessories,18-12-2017 14:18,29-12-2017 23:42,22-12-2017 00:00,N,2017-12-18 14:18:00,2017-12-29 23:42:00,2017-12-22 00:00:00,16404.0,Monday,14.0,16404.0,Ticket flagged as overdue by the system .,NEGATIVE,0.8958033323287964,122,1
IT515811,User,ITSupport,Email,,"this is a request for a third SD card which we need for brightsign project. Can you please approve ?</p> <p class=""MsoNormal"">Â </p> <p class=""MsoNormal"">Regards",Accessories,18-12-2017 14:18,29-12-2017 23:42,19-12-2017 10:28,N,2017-12-18 14:18:00,2017-12-29 23:42:00,2017-12-19 10:28:00,16404.0,Monday,14.0,16404.0,"this is a request for a third SD card which we need for brightsign project . can you please approve ?/p> p class=""MsoNormal"">",,,122,1
IT515811,User,ITSupport,Email,,"this is a request for a third SD card which we need for brightsign project. Can you please approve ?</p> <p class=""MsoNormal""><p>Â </p></p> <p class=""MsoNormal"">Regards",Accessories,18-12-2017 14:18,29-12-2017 23:42,19-12-2017 10:12,N,2017-12-18 14:18:00,2017-12-29 23:42:00,2017-12-19 10:12:00,16404.0,Monday,14.0,16404.0,this is a request for a third SD card which we need for brightsign project .,,,122,1
IT515811,User,ITSupport,Email,,"Hello Srikanth,<br /><br />Could you please take your manager and practice head approvals with the business case,so that we will proceed further.<br /><br />Thanks &amp; Regards<br />A.Shijil Kumar",Accessories,18-12-2017 14:18,29-12-2017 23:42,19-12-2017 09:47,N,2017-12-18 14:18:00,2017-12-29 23:42:00,2017-12-19 09:47:00,16404.0,Monday,14.0,16404.0,"Hello Srikanth,br />Br . Please take your manager and practice head approvals with the business case .",,,122,1
IT515811,User,ITSupport,Email,Ticket Assigned to Shijil Kumar Aynoli,Please do the needful.,Accessories,18-12-2017 14:18,29-12-2017 23:42,18-12-2017 16:17,N,2017-12-18 14:18:00,2017-12-29 23:42:00,2017-12-18 16:17:00,16404.0,Monday,14.0,16404.0,"please do the needful . if you have any questions, please contact us .",NEGATIVE,0.8922573328018188,122,1
IT515811,User,ITSupport,Email,Collaborators added by end user,Sripathy Venkateswaran &lt;svenkateswaran@abc.com&gt; via Email (cc)<br />Guru Vinjamuri &lt;gvinjamuri@abc.com&gt; via Email (cc),Accessories,18-12-2017 14:18,29-12-2017 23:42,18-12-2017 14:18,N,2017-12-18 14:18:00,2017-12-29 23:42:00,2017-12-18 14:18:00,16404.0,Monday,14.0,16404.0,Sripathy Venkateswaran via email (cc)br/>Guru Vinjamuri &lt;gvinjamur@abc.com&gt; via Email (c,POSITIVE,0.9921356439590454,122,1
IT425503,User,ITSupport,Email,Mailbox is full ,"IT Team has sent the instructions to cleanup the maibox and archieve mails https://ticket.abc.com/kb/faq.php and click on O365 issues and then Mail box full
",Email Services,2015-12-21 11:18:27,2015-12-21 12:01:43,2015-12-21 11:18:27,YY,2015-12-21 11:18:27,2015-12-21 12:01:43,2015-12-21 11:18:27,43.266666666666666,Monday,11.0,43.266666666666666,IT Team has sent the instructions to cleanup the maibox and archieve mails . click on O365 issues and then Mail box full .,POSITIVE,0.9726584553718567,2,1
IT263796,User,ITSupport,Email,Ticket Assigned to Shashi Kumar Raju Hasthi,Ticket claimed by Shashi Kumar Raju Hasthi,Access Requests,2016-10-03 18:01:00,2016-10-03 18:34:00,2016-10-03 18:27:00,N,2016-10-03 18:01:00,2016-10-03 18:34:00,2016-10-03 18:27:00,33.0,Monday,18.0,33.0,Ticket claimed by Shashi Kumar Raju Hasthi .,NEGATIVE,0.9295473694801331,243,1
IT666290,User,ITSupport,Email,MySpace Password Expiry,"Please reset the passowrd using self service Portal http://ssp.abc.com, Please write back to us if you face any issue.",Password Reset,2015-12-28 14:43:27,2015-12-28 15:03:58,2015-12-28 14:43:27,YY,2015-12-28 14:43:27,2015-12-28 15:03:58,2015-12-28 14:43:27,20.516666666666666,Monday,14.0,20.516666666666666,please reset the passowrd using self service portal http://ssp.abc.com . Please write back to us if you face any issue .,NEGATIVE,0.9958364963531494,1,1
IT727331,User,ITSupport,Email,Ticket Assigned to Kishore Babu Ganesana,Ticket claimed by Kishore Babu Ganesana,Access Requests,24-10-2016 17:56,24-10-2016 18:08,24-10-2016 17:56,N,2016-10-24 17:56:00,2016-10-24 18:08:00,2016-10-24 17:56:00,12.0,Monday,17.0,12.0,Ticket claimed by Kishore Babu Ganesana .,NEGATIVE,0.5983573198318481,243,1
IT727331,User,ITSupport,Email,,Password was sent in separate mail.,Access Requests,24-10-2016 17:56,24-10-2016 18:08,24-10-2016 18:08,N,2016-10-24 17:56:00,2016-10-24 18:08:00,2016-10-24 18:08:00,12.0,Monday,17.0,12.0,Password was sent in separate mail .,,,243,1
IT538813,User,ITSupport,Email,,Password was shared to you.<br /><br />Marking the ticket as closed.,Access Requests,19-06-2017 12:04,19-06-2017 12:05,19-06-2017 12:05,N,2017-06-19 12:04:00,2017-06-19 12:05:00,2017-06-19 12:05:00,1.0,Monday,12.0,1.0,Password was shared to you .br /> 'marking the ticket as closed',,,243,1
IT538813,User,ITSupport,Email,New Ticket by Agent,Ticket created by agent - Kishore Babu Ganesana,Access Requests,19-06-2017 12:04,19-06-2017 12:05,19-06-2017 12:04,N,2017-06-19 12:04:00,2017-06-19 12:05:00,2017-06-19 12:04:00,1.0,Monday,12.0,1.0,Ticket created by agent - Kishore Babu Ganesana .,POSITIVE,0.5939328670501709,243,1
IT538813,User,ITSupport,Email,Ticket Assigned to Kishore Babu Ganesana,Ticket assignment,Access Requests,19-06-2017 12:04,19-06-2017 12:05,19-06-2017 12:04,N,2017-06-19 12:04:00,2017-06-19 12:05:00,2017-06-19 12:04:00,1.0,Monday,12.0,1.0,Ticket assignment takes place at a st james park .,NEGATIVE,0.5983573198318481,243,1
IT807771,User,ITSupport,Email,Configure outlook in my system,IT Team has sent the instructions to configure outlook -follow the instructions on https://ticket.abc.com/kb/faq.php and click on O365 and solution and then outlook configuration for your machines,Email Services,2016-02-15 17:47:24,2016-02-15 17:48:45,2016-02-15 17:47:24,YY,2016-02-15 17:47:24,2016-02-15 17:48:45,2016-02-15 17:47:24,1.35,Monday,17.0,1.35,IT Team has sent the instructions to configure outlook . follow the instructions on https://ticket.abc.com/kb/faq.php and click on O365 and then outlook configuration for your machines.,NEGATIVE,0.7064359784126282,2,1
IT243167,User,ITSupport,Web,Login Page is not getting displayed,Login server was down. It is up now. Please check.,Access Requests,2015-10-12 17:46:00,2015-11-12 12:26:00,2015-10-12 17:46:00,YYY,2015-10-12 17:46:00,2015-11-12 12:26:00,2015-10-12 17:46:00,44320.0,Monday,17.0,44320.0,login server was down. It is up now. Please check .,NEGATIVE,0.9987630844116211,243,1
IT720023,User,ITSupport,Email,Ticket Marked Overdue,Ticket flagged as overdue by the system.,Accessories,28-12-2015 18:59,13-01-2016 11:30,30-12-2015 06:59,N,2015-12-28 18:59:00,2016-01-13 11:30:00,2015-12-30 06:59:00,22591.0,Monday,18.0,22591.0,Ticket flagged as overdue by the system .,NEGATIVE,0.8958033323287964,122,1
IT720023,User,ITSupport,Email,Ticket Updated,Help topic is changed,Accessories,28-12-2015 18:59,13-01-2016 11:30,13-01-2016 10:52,N,2015-12-28 18:59:00,2016-01-13 11:30:00,2016-01-13 10:52:00,22591.0,Monday,18.0,22591.0,Help topic is changed to help topic . help topic is changing .,POSITIVE,0.987381637096405,122,1
IT720023,User,ITSupport,Email,,"Hi Rammohan,<br /><br />We have arranged the headset for you. Please come and collect it from Bangalore IT.<br /><br />Thanks,<br />Neelam Hari",Accessories,28-12-2015 18:59,13-01-2016 11:30,13-01-2016 11:15,N,2015-12-28 18:59:00,2016-01-13 11:30:00,2016-01-13 11:15:00,22591.0,Monday,18.0,22591.0,"hi Rammohan,br />Br, we have arranged the headset for you . please come and collect it from Bangalore IT .",,,122,1
IT720023,User,ITSupport,Email,Status Changed,Status changed from Open to Resolved by Hari Neelam,Accessories,28-12-2015 18:59,13-01-2016 11:30,13-01-2016 11:15,N,2015-12-28 18:59:00,2016-01-13 11:30:00,2016-01-13 11:15:00,22591.0,Monday,18.0,22591.0,Status changed from Open to Resolved by Hari Neelam .,POSITIVE,0.9965285658836365,122,1
IT2432345,User,ITSupport,Web,Login Page Down,Login server was down. It is up now. Please check.,Access Requests,2015-10-12 17:46:00,2015-11-12 12:26:00,2015-10-12 17:46:00,YYY,2015-10-12 17:46:00,2015-11-12 12:26:00,2015-10-12 17:46:00,44320.0,Monday,17.0,44320.0,login server was down. It is up now. Please check .,NEGATIVE,0.999117910861969,243,1
IT263796,User,ITSupport,Email,Status Changed,Status changed from Open to Resolved by Shashi Kumar Raju Hasthi,Access Requests,2016-10-03 18:01:00,2016-10-03 18:34:00,2016-10-03 18:34:00,N,2016-10-03 18:01:00,2016-10-03 18:34:00,2016-10-03 18:34:00,33.0,Monday,18.0,33.0,Status changed from Open to Resolved by Shashi Kumar Raju Hasthi .,POSITIVE,0.9965285658836365,243,1
IT313303,User,ITSupport,Email,Need Wave rock VPN,"IT team has provided VPN access. 
Please follow the instructions on https://ticket.abc.com/kb/faq.php and click on Network Issues and solution and then select SSLVPN configuration for your machines",VPN access,2015-10-12 13:49:00,2015-10-12 17:15:00,2015-10-12 13:49:00,YY,2015-10-12 13:49:00,2015-10-12 17:15:00,2015-10-12 13:49:00,206.0,Monday,13.0,206.0,IT team has provided VPN access . click on Network Issues and solution and select SSLVPN configuration for your machines .,NEGATIVE,0.7624759674072266,1,1
IT498019,User,ITSupport,Email,Status Changed,Status changed from Open to Pending by Pavan Kumar Thukuntla,Accessories,18-12-2017 12:26,22-12-2017 10:26,21-12-2017 10:15,N,2017-12-18 12:26:00,2017-12-22 10:26:00,2017-12-21 10:15:00,5640.0,Monday,12.0,5640.0,status changed from Open to Pending by Pavan Kumar Thukuntla . Status changed from Pending to Open .,POSITIVE,0.9965285658836365,122,1
