Source,HelpTopic,KYC,ResolutionDurationMins,TimeOfDayOpened,Sentiment,DayOfWeekNum
Email,Access Requests,N,64.0,16.0,NEGATIVE,1
Email,Accessories,N,16404.0,14.0,,1
Email,Accessories,N,16404.0,14.0,POSITIVE,1
Email,Accessories,N,16404.0,14.0,NEGATIVE,1
Email,Accessories,N,16404.0,14.0,,1
Email,Accessories,N,16404.0,14.0,,1
Email,Accessories,N,16404.0,14.0,,1
Email,Accessories,N,16404.0,14.0,NEGATIVE,1
Email,Accessories,N,16404.0,14.0,POSITIVE,1
Email,Email Services,YY,43.266666666666666,11.0,POSITIVE,1
Email,Access Requests,N,33.0,18.0,NEGATIVE,1
Email,Password Reset,YY,20.516666666666666,14.0,NEGATIVE,1
Email,Access Requests,N,12.0,17.0,NEGATIVE,1
Email,Access Requests,N,12.0,17.0,,1
Email,Access Requests,N,1.0,12.0,,1
Email,Access Requests,N,1.0,12.0,POSITIVE,1
Email,Access Requests,N,1.0,12.0,NEGATIVE,1
Email,Email Services,YY,1.35,17.0,NEGATIVE,1
Web,Access Requests,YYY,44320.0,17.0,NEGATIVE,1
Email,Accessories,N,22591.0,18.0,NEGATIVE,1
Email,Accessories,N,22591.0,18.0,POSITIVE,1
Email,Accessories,N,22591.0,18.0,,1
Email,Accessories,N,22591.0,18.0,POSITIVE,1
Web,Access Requests,YYY,44320.0,17.0,NEGATIVE,1
Email,Access Requests,N,33.0,18.0,POSITIVE,1
Email,VPN access,YY,206.0,13.0,NEGATIVE,1
Email,Accessories,N,5640.0,12.0,POSITIVE,1
Email,Accessories,N,5640.0,12.0,NEGATIVE,1
Email,Accessories,N,5640.0,12.0,,1
Email,Access Requests,N,42823.0,18.0,NEGATIVE,1
Email,Access Requests,N,42823.0,18.0,NEGATIVE,1
Email,Access Requests,N,391.0,12.0,,1
Email,Accessories,N,5640.0,12.0,POSITIVE,1
Email,Accessories,N,5640.0,12.0,,1
Email,Access Requests,N,391.0,12.0,,1
Email,Access Requests,YYY,54.0,17.0,NEGATIVE,1
Email,Access Requests,N,12.0,17.0,NEGATIVE,1
Email,Access Requests,N,64.0,16.0,,1
Email,Access Requests,N,64.0,16.0,,1
Email,Data Center Services /Report VM issue,YY,153.78333333333333,12.0,NEGATIVE,1
Web,Access Requests,YYY,44320.0,17.0,NEGATIVE,1
Email,Access Requests,YYY,44320.0,17.0,POSITIVE,1
Email,Accessories,N,5640.0,12.0,,1
Email,Access Requests,N,33.0,18.0,,1
Email,Accessories,N,0.0,12.0,,1
Email,Accessories,N,5640.0,12.0,POSITIVE,1
Email,Accessories,N,5640.0,12.0,NEGATIVE,1
Email,Accessories,N,5640.0,12.0,,1
Email,Accessories,N,5640.0,12.0,,1
Email,Accessories,N,0.0,12.0,POSITIVE,1
Email,Accessories,N,5640.0,12.0,POSITIVE,1
Email,Access Requests,N,391.0,12.0,POSITIVE,1
Email,Access Requests,N,391.0,12.0,,1
Email,Access Requests,N,391.0,12.0,POSITIVE,1
Email,Accessories,N,0.0,12.0,NEGATIVE,1
Email,Accessories,N,0.0,12.0,POSITIVE,1
Email,Accessories,N,0.0,12.0,NEGATIVE,1
Email,Access Requests,N,38.0,15.0,POSITIVE,2
Email,Access Requests,N,43.0,11.0,NEGATIVE,2
Email,Access Requests,N,43.0,11.0,POSITIVE,2
Email,Access Requests,YYY,256.0,13.0,NEGATIVE,2
Email,Access Requests,N,38.0,15.0,,2
Email,Access Requests,N,38.0,15.0,NEGATIVE,2
Email,Access Requests,YYY,161.0,18.0,NEGATIVE,2
Email,Software Request,YYY,256.0,13.0,NEGATIVE,2
Email,Access Requests,N,44789.0,13.0,POSITIVE,2
Email,Access Requests,N,44760.0,14.0,POSITIVE,2
Email,Access Requests,N,44760.0,14.0,,2
Email,Access Requests,N,44789.0,13.0,,2
Email,Access Requests,N,44789.0,13.0,POSITIVE,2
Web,Software Request,YYY,256.0,13.0,NEGATIVE,2
Email,Access Requests,N,44760.0,14.0,POSITIVE,2
Email,Access Requests,N,44760.0,14.0,NEGATIVE,2
Email,Access Requests,N,44585.0,16.0,NEGATIVE,2
Email,Access Requests,N,44585.0,16.0,,2
