Source,HelpTopic,KYC,ResolutionDurationMins,TimeOfDayOpened,Sentiment,DayOfWeekNum
0,0,0,64.0,16.0,0,1
0,1,0,16404.0,14.0,1,1
0,1,0,16404.0,14.0,2,1
0,1,0,16404.0,14.0,0,1
0,1,0,16404.0,14.0,1,1
0,1,0,16404.0,14.0,1,1
0,1,0,16404.0,14.0,1,1
0,1,0,16404.0,14.0,0,1
0,1,0,16404.0,14.0,2,1
0,5,1,43.266666666666666,11.0,2,1
0,0,0,33.0,18.0,0,1
0,12,1,20.516666666666666,14.0,0,1
0,0,0,12.0,17.0,0,1
0,0,0,12.0,17.0,1,1
0,0,0,1.0,12.0,1,1
0,0,0,1.0,12.0,2,1
0,0,0,1.0,12.0,0,1
0,5,1,1.35,17.0,0,1
1,0,2,44320.0,17.0,0,1
0,1,0,22591.0,18.0,0,1
0,1,0,22591.0,18.0,2,1
0,1,0,22591.0,18.0,1,1
0,1,0,22591.0,18.0,2,1
1,0,2,44320.0,17.0,0,1
0,0,0,33.0,18.0,2,1
0,15,1,206.0,13.0,0,1
0,1,0,5640.0,12.0,2,1
0,1,0,5640.0,12.0,0,1
0,1,0,5640.0,12.0,1,1
0,0,0,42823.0,18.0,0,1
0,0,0,42823.0,18.0,0,1
0,0,0,391.0,12.0,1,1
0,1,0,5640.0,12.0,2,1
0,1,0,5640.0,12.0,1,1
0,0,0,391.0,12.0,1,1
0,0,2,54.0,17.0,0,1
0,0,0,12.0,17.0,0,1
0,0,0,64.0,16.0,1,1
0,0,0,64.0,16.0,1,1
0,3,1,153.78333333333333,12.0,0,1
1,0,2,44320.0,17.0,0,1
0,0,2,44320.0,17.0,2,1
0,1,0,5640.0,12.0,1,1
0,0,0,33.0,18.0,1,1
0,1,0,0.0,12.0,1,1
0,1,0,5640.0,12.0,2,1
0,1,0,5640.0,12.0,0,1
0,1,0,5640.0,12.0,1,1
0,1,0,5640.0,12.0,1,1
0,1,0,0.0,12.0,2,1
0,1,0,5640.0,12.0,2,1
0,0,0,391.0,12.0,2,1
0,0,0,391.0,12.0,1,1
0,0,0,391.0,12.0,2,1
0,1,0,0.0,12.0,0,1
0,1,0,0.0,12.0,2,1
0,1,0,0.0,12.0,0,1
0,0,0,38.0,15.0,2,2
0,0,0,43.0,11.0,0,2
0,0,0,43.0,11.0,2,2
0,0,2,256.0,13.0,0,2
0,0,0,38.0,15.0,1,2
0,0,0,38.0,15.0,0,2
0,0,2,161.0,18.0,0,2
0,14,2,256.0,13.0,0,2
0,0,0,44789.0,13.0,2,2
0,0,0,44760.0,14.0,2,2
0,0,0,44760.0,14.0,1,2
0,0,0,44789.0,13.0,1,2
0,0,0,44789.0,13.0,2,2
1,14,2,256.0,13.0,0,2
0,0,0,44760.0,14.0,2,2
0,0,0,44760.0,14.0,0,2
0,0,0,44585.0,16.0,0,2
0,0,0,44585.0,16.0,1,2
0,0,0,44585.0,16.0,2,2
0,0,0,174.0,17.0,2,2
0,0,0,174.0,17.0,0,2
0,0,0,174.0,17.0,2,2
0,0,2,161.0,18.0,0,2
0,0,0,174.0,17.0,1,2
0,0,0,174.0,17.0,2,2
0,0,0,80.0,18.0,0,2
0,0,0,80.0,18.0,1,2
0,0,0,80.0,18.0,2,2
0,0,2,256.0,13.0,0,2
1,0,2,256.0,13.0,0,2
0,3,1,24.766666666666666,18.0,0,2
0,6,2,38.0,15.0,0,2
0,0,0,43.0,11.0,1,2
0,0,0,49.0,11.0,0,2
0,0,0,41.0,17.0,2,2
0,1,0,1629.0,11.0,1,2
0,0,0,49.0,11.0,2,2
0,1,0,1629.0,11.0,1,2
0,1,0,1629.0,11.0,1,2
0,1,0,1629.0,11.0,1,2
0,1,0,1629.0,11.0,1,2
0,1,0,1629.0,11.0,0,2
0,1,0,1629.0,11.0,2,2
0,1,0,4.0,10.0,2,2
0,0,2,1062.0,17.0,0,2
0,1,0,0.0,19.0,2,2
0,1,0,0.0,19.0,0,2
0,1,0,0.0,19.0,0,2
0,1,0,0.0,19.0,1,2
0,1,0,0.0,19.0,2,2
0,1,0,0.0,19.0,1,2
0,1,0,0.0,19.0,2,2
0,0,2,161.0,18.0,0,2
1,13,1,828.1666666666666,23.0,2,2
0,0,2,256.0,13.0,0,2
0,1,0,4.0,10.0,1,2
0,1,0,1629.0,11.0,2,2
0,0,0,41.0,17.0,2,2
0,0,2,161.0,18.0,0,2
0,0,0,41.0,17.0,1,2
0,0,0,44789.0,13.0,2,2
0,0,0,1062.0,17.0,0,2
0,0,0,1062.0,17.0,2,2
0,0,0,44789.0,13.0,1,2
0,0,0,1062.0,17.0,1,2
0,0,0,1062.0,17.0,2,2
0,0,0,1062.0,17.0,0,2
0,0,0,37.0,10.0,1,3
0,0,0,37.0,10.0,1,3
0,0,0,37.0,10.0,0,3
0,0,0,226.0,13.0,0,3
0,0,0,226.0,13.0,1,3
0,0,0,8.0,17.0,2,3
0,0,0,8.0,17.0,2,3
0,6,2,12.0,14.0,0,3
0,0,0,8.0,17.0,1,3
0,9,2,12.0,21.0,0,3
0,0,0,302.0,12.0,2,3
0,0,0,302.0,12.0,0,3
0,0,0,302.0,12.0,1,3
0,0,0,302.0,12.0,2,3
0,0,0,226.0,13.0,2,3
0,9,2,12.0,21.0,0,3
0,0,0,176.0,11.0,1,3
0,0,0,2.0,11.0,2,3
0,0,0,176.0,11.0,0,3
0,0,0,176.0,11.0,2,3
0,8,1,363.0,14.0,0,3
0,0,0,2.0,11.0,1,3
0,0,0,899.0,21.0,0,3
0,0,0,899.0,21.0,1,3
0,0,0,899.0,21.0,2,3
0,0,0,160.0,9.0,0,3
0,0,0,219.0,8.0,0,3
0,1,0,0.0,12.0,0,3
0,1,0,0.0,12.0,0,3
0,1,0,0.0,12.0,1,3
0,1,0,0.0,12.0,2,3
0,0,2,81.0,14.0,0,3
0,1,0,12.0,21.0,2,3
0,1,0,0.0,12.0,1,3
0,1,0,0.0,12.0,1,3
0,1,0,0.0,12.0,0,3
0,1,0,0.0,12.0,1,3
0,1,0,0.0,12.0,2,3
1,1,0,57674.0,12.0,0,3
1,1,0,57674.0,12.0,1,3
1,1,0,57674.0,12.0,2,3
0,0,0,176.0,11.0,1,3
0,0,0,176.0,11.0,2,3
0,0,0,0.0,14.0,1,3
0,0,0,59.0,16.0,1,3
1,0,0,1093.0,1.0,0,3
1,0,0,1093.0,1.0,1,3
0,0,0,12.0,14.0,0,3
0,0,0,12.0,14.0,2,3
0,0,0,0.0,14.0,2,3
0,11,1,984.2833333333332,20.0,0,3
1,0,0,1093.0,1.0,0,3
1,0,0,1093.0,1.0,1,3
0,0,0,0.0,14.0,1,3
0,0,0,176.0,11.0,1,3
0,0,0,176.0,11.0,2,3
0,0,0,2.0,11.0,0,3
0,0,0,0.0,14.0,0,3
0,2,1,242.38333333333333,14.0,0,3
1,0,0,1093.0,1.0,2,3
0,1,0,0.0,15.0,0,4
0,0,0,60580.0,9.0,0,4
0,1,0,0.0,15.0,2,4
0,1,0,0.0,15.0,2,4
0,1,0,0.0,15.0,1,4
0,1,0,0.0,15.0,0,4
0,0,0,60580.0,9.0,0,4
0,0,0,60580.0,9.0,0,4
0,0,0,60580.0,9.0,0,4
0,0,0,60580.0,9.0,0,4
0,1,0,0.0,15.0,0,4
0,1,0,0.0,15.0,2,4
0,0,0,1.0,18.0,0,4
0,0,0,1705.0,8.0,1,4
0,0,0,1705.0,8.0,1,4
0,0,0,1705.0,8.0,0,4
0,0,0,1558.0,13.0,2,4
0,0,0,1705.0,8.0,2,4
0,0,0,1705.0,8.0,1,4
0,0,0,1705.0,8.0,0,4
0,0,0,1705.0,8.0,2,4
0,0,0,1705.0,8.0,0,4
0,0,0,60580.0,9.0,1,4
0,0,0,60580.0,9.0,0,4
0,0,0,1.0,18.0,2,4
0,0,0,1.0,18.0,1,4
0,0,0,1.0,18.0,2,4
0,0,0,1705.0,8.0,2,4
0,0,0,60580.0,9.0,0,4
0,10,1,62.0,12.0,0,4
0,0,0,60580.0,9.0,1,4
1,0,0,87650.0,22.0,0,4
1,0,0,87650.0,22.0,1,4
1,0,0,87650.0,22.0,2,4
1,0,0,87650.0,22.0,1,4
1,0,0,87650.0,22.0,1,4
1,0,0,87650.0,22.0,2,4
1,0,0,87650.0,22.0,2,4
1,0,0,87650.0,22.0,1,4
1,0,0,87650.0,22.0,1,4
1,0,0,87650.0,22.0,1,4
1,0,0,87650.0,22.0,1,4
1,0,0,87650.0,22.0,1,4
0,0,0,117.0,10.0,2,4
0,0,0,117.0,10.0,0,4
0,0,0,117.0,10.0,2,4
0,0,0,117.0,10.0,1,4
0,7,1,5840.35,11.0,0,4
